PRISM Time Series Data
Location:  Lat: 33.7904   Lon: -84.4670   Elev: 265m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1999-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Dec-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1999-01,110.32,1.6,8.0,14.4
1999-02,94.73,3.0,9.0,15.0
1999-03,86.66,2.7,9.6,16.5
1999-04,22.57,12.1,18.1,24.2
1999-05,79.70,13.9,19.9,25.9
1999-06,158.39,19.1,23.9,28.6
1999-07,129.36,21.2,26.3,31.4
1999-08,38.20,21.1,27.5,33.9
1999-09,44.68,15.6,22.4,29.2
1999-10,77.24,10.4,16.3,22.3
1999-11,89.75,6.1,13.2,20.2
1999-12,48.40,1.0,7.4,13.8
2000-01,103.46,0.5,5.9,11.2
2000-02,55.77,2.4,9.8,17.2
2000-03,111.54,6.7,13.4,20.1
2000-04,106.41,8.0,14.5,21.1
2000-05,42.63,15.8,22.1,28.4
2000-06,50.06,18.6,24.7,30.9
2000-07,59.14,20.6,26.8,33.0
2000-08,118.61,20.4,26.1,31.8
2000-09,168.49,16.7,21.4,26.2
2000-10,15.87,9.5,16.8,24.2
2000-11,157.35,4.9,10.2,15.5
2000-12,61.60,-2.4,2.4,7.3
2001-01,86.74,-1.6,4.2,9.9
2001-02,93.22,3.5,9.5,15.5
2001-03,211.84,3.9,9.7,15.4
2001-04,55.96,10.7,17.0,23.2
2001-05,87.90,14.3,20.6,26.8
2001-06,139.73,18.6,23.6,28.6
2001-07,123.50,20.8,25.7,30.6
2001-08,74.23,21.1,25.8,30.5
2001-09,73.28,15.6,21.3,27.0
2001-10,29.05,8.1,15.1,22.1
2001-11,21.34,6.1,13.9,21.7
2001-12,64.98,3.4,9.5,15.7
2002-01,155.13,0.3,6.7,13.0
2002-02,53.50,0.6,7.3,14.0
2002-03,158.66,4.3,11.2,18.1
2002-04,39.53,12.3,18.1,24.0
2002-05,108.94,13.7,19.6,25.4
2002-06,110.60,19.0,24.5,30.0
2002-07,120.43,21.2,26.5,31.8
2002-08,86.59,20.7,26.5,32.3
2002-09,178.32,19.3,23.9,28.6
2002-10,168.80,14.3,18.6,22.8
2002-11,158.86,3.5,9.5,15.5
2002-12,157.91,0.5,5.9,11.3
2003-01,64.64,-1.9,3.7,9.3
2003-02,131.83,1.7,7.3,12.9
2003-03,143.34,7.3,12.8,18.3
2003-04,102.23,9.7,15.9,22.0
2003-05,368.24,15.8,20.5,25.1
2003-06,209.32,18.3,23.5,28.7
2003-07,270.01,20.8,25.5,30.3
2003-08,78.49,21.4,26.2,30.9
2003-09,67.43,16.2,22.2,28.1
2003-10,90.17,10.7,16.9,23.0
2003-11,131.05,7.2,14.0,20.7
2003-12,77.72,-0.9,5.5,11.9
2004-01,80.76,-0.7,5.5,11.6
2004-02,103.87,1.2,6.0,10.7
2004-03,39.59,7.1,14.2,21.3
2004-04,56.66,9.4,16.2,23.0
2004-05,65.68,17.0,22.8,28.5
2004-06,145.00,20.4,24.7,29.1
2004-07,126.39,21.1,26.2,31.2
2004-08,87.25,19.4,24.7,30.0
2004-09,297.23,17.7,22.3,27.0
2004-10,40.00,14.1,19.0,24.0
2004-11,181.34,7.7,13.3,18.8
2004-12,130.24,0.3,6.6,12.9
2005-01,52.57,1.6,8.0,14.4
2005-02,144.23,3.5,9.0,14.6
2005-03,155.49,4.5,10.6,16.8
2005-04,127.45,9.2,15.7,22.2
2005-05,106.35,12.7,19.0,25.2
2005-06,137.91,19.6,24.4,29.2
2005-07,426.97,22.2,26.8,31.4
2005-08,210.66,22.2,26.8,31.5
2005-09,7.57,18.7,24.8,30.9
2005-10,63.36,12.0,18.0,24.0
2005-11,79.88,5.6,12.4,19.2
2005-12,99.06,-1.0,4.8,10.6
2006-01,155.36,2.7,8.8,14.9
2006-02,151.87,0.5,5.9,11.3
2006-03,75.65,5.0,11.7,18.4
2006-04,76.80,11.6,18.6,25.6
2006-05,55.64,14.5,20.3,26.0
2006-06,181.42,18.1,24.5,31.0
2006-07,80.81,21.2,27.0,32.8
2006-08,189.57,22.1,27.3,32.5
2006-09,120.15,16.3,21.8,27.2
2006-10,82.79,9.1,15.5,21.8
2006-11,109.45,4.5,10.8,17.1
2006-12,39.70,2.6,9.2,15.8
2007-01,122.46,1.9,7.5,13.1
2007-02,71.26,-0.2,6.0,12.3
2007-03,58.52,7.7,14.8,21.8
2007-04,49.73,8.3,14.7,21.2
2007-05,21.72,14.1,21.0,27.9
2007-06,70.29,19.3,25.7,32.0
2007-07,103.18,20.4,25.2,30.1
2007-08,66.63,22.5,28.9,35.4
2007-09,58.40,18.1,24.0,30.0
2007-10,49.70,12.6,18.6,24.7
2007-11,28.21,3.3,10.7,18.1
2007-12,131.51,4.3,9.8,15.3
2008-01,59.09,-0.6,5.1,10.7
2008-02,156.10,1.4,8.3,15.1
2008-03,115.98,4.2,11.4,18.6
2008-04,108.27,10.1,15.8,21.6
2008-05,80.14,14.6,20.4,26.2
2008-06,34.36,19.9,26.0,32.1
2008-07,85.97,20.4,26.0,31.7
2008-08,130.82,20.5,25.6,30.6
2008-09,9.43,17.8,23.1,28.3
2008-10,84.97,10.0,16.1,22.1
2008-11,57.39,2.4,9.4,16.4
2008-12,109.81,3.5,8.5,13.5
2009-01,78.67,0.0,5.7,11.4
2009-02,90.05,0.2,7.3,14.4
2009-03,170.95,5.8,11.9,18.0
