PRISM Time Series Data
Location:  Lat: 39.7622   Lon: -104.8761   Elev: 1623m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1999-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Dec-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1999-01,9.45,-5.3,1.8,8.8
1999-02,4.88,-4.0,4.4,12.8
1999-03,8.27,-1.9,6.7,15.4
1999-04,142.80,0.3,6.6,13.0
1999-05,78.28,6.2,13.1,20.0
1999-06,42.37,11.1,18.6,26.1
1999-07,46.52,16.5,24.0,31.4
1999-08,85.73,14.9,21.8,28.6
1999-09,38.79,7.6,15.3,22.9
1999-10,14.12,1.8,10.9,20.0
1999-11,15.96,-1.0,8.4,17.9
1999-12,19.08,-5.1,1.9,8.9
2000-01,11.29,-6.1,1.5,9.1
2000-02,6.42,-4.0,4.0,11.9
2000-03,36.96,-1.4,5.5,12.3
2000-04,23.83,1.9,10.3,18.8
2000-05,46.78,8.0,15.8,23.6
2000-06,28.45,12.0,20.2,28.3
2000-07,45.68,16.5,24.9,33.2
2000-08,55.71,15.8,23.8,31.8
2000-09,35.42,8.4,17.0,25.6
2000-10,11.77,2.8,10.5,18.2
2000-11,22.85,-7.2,-0.7,5.7
2000-12,6.35,-9.3,-1.5,6.3
2001-01,14.05,-7.7,-0.5,6.8
2001-02,16.74,-8.4,-1.7,5.0
2001-03,27.56,-2.0,4.5,11.0
2001-04,41.71,2.6,9.7,16.8
2001-05,89.10,7.1,14.1,21.1
2001-06,20.18,12.7,20.8,28.8
2001-07,65.48,16.9,24.8,32.8
2001-08,44.62,15.2,22.8,30.4
2001-09,25.49,9.7,18.6,27.5
2001-10,3.88,2.0,10.8,19.6
2001-11,21.38,-2.1,6.1,14.3
2001-12,6.82,-6.8,0.9,8.6
2002-01,12.10,-7.9,-0.3,7.3
2002-02,10.81,-7.3,1.0,9.2
2002-03,32.47,-6.4,1.6,9.6
2002-04,1.79,1.5,10.6,19.6
2002-05,38.22,5.9,13.6,21.4
2002-06,20.54,13.8,22.4,31.0
2002-07,21.80,16.7,25.1,33.6
2002-08,23.45,13.7,22.3,30.8
2002-09,43.13,9.6,17.6,25.7
2002-10,26.63,-0.0,7.6,15.2
2002-11,8.62,-3.9,3.2,10.3
2002-12,0.00,-6.3,1.4,9.2
2003-01,1.22,-5.5,3.1,11.7
2003-02,17.52,-8.8,-1.6,5.7
2003-03,116.88,-2.4,4.5,11.4
2003-04,56.14,3.2,10.8,18.3
2003-05,54.25,7.8,14.5,21.2
2003-06,36.06,10.8,17.6,24.4
2003-07,30.37,16.4,25.3,34.3
2003-08,66.54,15.0,23.6,32.1
2003-09,9.29,7.7,16.1,24.4
2003-10,2.62,4.4,13.4,22.4
2003-11,7.43,-4.6,2.4,9.5
2003-12,10.63,-7.0,1.1,9.2
2004-01,12.90,-8.3,0.2,8.7
2004-02,21.63,-7.1,-0.2,6.6
2004-03,7.68,-0.4,7.9,16.2
2004-04,67.11,2.1,8.9,15.7
2004-05,37.70,6.8,14.9,23.1
2004-06,44.38,10.1,17.6,25.1
2004-07,48.41,13.9,21.5,29.2
2004-08,111.98,11.9,19.7,27.5
2004-09,38.04,8.9,16.9,25.0
2004-10,32.52,2.6,10.5,18.3
2004-11,28.08,-3.3,3.4,10.2
2004-12,4.15,-6.2,1.4,9.1
2005-01,18.96,-6.0,1.2,8.3
2005-02,1.15,-4.9,2.3,9.5
2005-03,21.73,-2.7,4.4,11.5
2005-04,68.11,0.8,8.0,15.1
2005-05,30.07,6.4,13.8,21.2
2005-06,95.42,11.0,18.8,26.5
2005-07,14.14,15.6,24.6,33.6
2005-08,70.75,13.3,21.4,29.4
2005-09,8.68,9.9,18.5,27.1
2005-10,63.20,2.9,10.9,18.8
2005-11,6.58,-2.6,6.2,14.9
2005-12,8.23,-8.2,-0.9,6.3
2006-01,8.46,-4.3,3.6,11.4
2006-02,6.43,-8.8,-0.7,7.4
2006-03,20.52,-4.1,3.6,11.3
2006-04,16.90,2.1,10.8,19.5
2006-05,15.81,7.4,15.7,24.0
2006-06,2.05,13.5,22.1,30.7
2006-07,72.98,16.8,24.0,31.3
2006-08,70.04,14.9,21.9,28.9
2006-09,22.31,6.5,14.4,22.3
2006-10,51.66,1.9,9.6,17.4
2006-11,9.10,-2.6,5.1,12.9
2006-12,60.02,-6.4,0.1,6.6
2007-01,23.72,-12.3,-5.3,1.6
2007-02,9.03,-8.1,-0.7,6.6
2007-03,37.49,-0.2,7.3,14.7
2007-04,67.48,1.0,7.8,14.6
2007-05,86.87,7.3,14.6,21.8
2007-06,13.02,11.6,19.9,28.1
2007-07,38.91,15.8,24.2,32.6
2007-08,66.40,15.4,23.3,31.2
