PRISM Time Series Data
Location:  Lat: 25.6148   Lon: -80.5684   Elev: 2m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1999-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Dec-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1999-01,87.77,14.8,20.1,25.4
1999-02,8.54,13.3,19.7,26.2
1999-03,7.41,12.9,19.9,26.8
1999-04,32.89,17.0,23.7,30.5
1999-05,132.03,18.7,24.8,30.9
1999-06,281.92,22.4,26.6,30.8
1999-07,148.36,23.3,27.8,32.3
1999-08,261.49,23.8,28.3,32.9
1999-09,237.96,23.3,27.4,31.4
1999-10,345.80,21.9,25.5,29.1
1999-11,22.10,17.7,22.3,27.0
1999-12,14.85,15.3,20.2,25.1
2000-01,7.97,13.1,19.0,24.8
2000-02,19.05,13.3,19.3,25.2
2000-03,23.46,16.0,22.0,27.9
2000-04,87.91,16.4,22.5,28.5
2000-05,32.29,19.1,24.8,30.6
2000-06,128.92,22.0,26.6,31.3
2000-07,203.14,23.0,27.7,32.5
2000-08,177.53,23.3,27.8,32.2
2000-09,184.46,23.7,27.8,31.9
2000-10,315.26,20.1,24.6,29.0
2000-11,2.11,16.2,21.7,27.2
2000-12,59.56,14.4,19.5,24.7
2001-01,5.23,8.3,15.3,22.4
2001-02,0.04,15.9,21.8,27.8
2001-03,107.54,15.0,21.5,28.0
2001-04,63.99,16.6,22.8,29.0
2001-05,125.42,18.4,23.7,28.9
2001-06,171.68,21.7,27.0,32.3
2001-07,179.19,22.6,27.3,32.0
2001-08,223.00,23.8,28.2,32.6
2001-09,320.89,22.9,27.0,31.1
2001-10,204.46,22.0,25.7,29.4
2001-11,34.84,17.9,22.4,26.9
2001-12,37.67,17.0,21.7,26.5
2002-01,23.82,14.1,19.8,25.5
2002-02,90.06,14.3,20.1,25.8
2002-03,25.32,16.8,22.3,27.8
2002-04,21.66,17.7,23.9,30.1
2002-05,125.38,20.3,25.6,30.9
2002-06,351.58,22.8,26.8,30.8
2002-07,240.04,23.6,27.8,32.1
2002-08,163.12,23.5,28.1,32.7
2002-09,165.27,24.1,28.0,31.8
2002-10,142.35,22.0,26.7,31.4
2002-11,76.70,17.3,22.6,28.0
2002-12,77.96,14.8,20.2,25.6
2003-01,11.61,9.7,16.3,23.0
2003-02,33.22,14.7,21.4,28.1
2003-03,102.07,19.1,25.3,31.4
2003-04,107.97,17.3,23.1,29.0
2003-05,282.75,22.0,26.8,31.7
2003-06,310.73,24.4,28.2,31.9
2003-07,112.29,24.7,28.7,32.7
2003-08,310.32,24.5,28.4,32.3
2003-09,325.58,24.6,28.4,32.2
2003-10,25.89,23.1,27.1,31.1
2003-11,107.64,19.9,24.0,28.2
2003-12,19.73,13.1,18.5,23.8
2004-01,41.81,12.3,18.5,24.7
2004-02,82.90,14.9,20.5,26.2
2004-03,11.18,16.2,21.6,27.1
2004-04,100.48,15.5,21.9,28.4
2004-05,37.39,19.6,25.1,30.6
2004-06,107.95,21.8,27.8,33.8
2004-07,209.64,21.9,27.7,33.5
2004-08,258.06,24.2,28.6,33.1
2004-09,239.00,24.2,27.9,31.5
2004-10,94.53,22.2,26.3,30.4
2004-11,27.16,18.9,23.4,27.9
2004-12,2.49,14.4,19.6,24.9
2005-01,24.33,12.9,18.9,24.8
2005-02,4.98,12.1,18.9,25.7
2005-03,72.30,14.0,20.7,27.3
2005-04,36.87,14.8,21.7,28.5
2005-05,71.26,18.5,24.7,30.9
2005-06,414.74,23.6,27.4,31.2
2005-07,177.32,25.8,29.4,33.0
2005-08,269.76,25.8,29.5,33.2
2005-09,247.29,25.2,28.7,32.1
2005-10,156.60,23.1,26.2,29.4
2005-11,18.34,19.7,23.6,27.5
2005-12,24.58,15.1,20.1,25.1
2006-01,7.76,14.2,19.5,24.8
2006-02,98.07,12.9,18.9,24.9
2006-03,10.51,14.4,20.9,27.3
2006-04,20.98,16.0,23.3,30.5
2006-05,120.90,17.4,24.6,31.9
2006-06,111.81,21.7,27.1,32.6
2006-07,352.61,23.8,27.7,31.6
2006-08,181.48,24.2,28.5,32.8
2006-09,96.50,24.1,28.1,32.1
2006-10,27.80,21.1,25.9,30.7
2006-11,17.08,17.4,22.1,26.8
2006-12,60.71,18.2,22.4,26.5
2007-01,34.72,15.2,20.9,26.6
2007-02,37.40,12.7,19.1,25.5
2007-03,49.22,15.1,21.5,27.8
2007-04,122.25,16.0,22.6,29.2
2007-05,115.69,18.9,24.6,30.3
2007-06,311.08,22.2,27.1,32.1
2007-07,207.45,24.0,28.8,33.5
2007-08,65.22,24.0,29.0,33.9
2007-09,165.78,22.9,27.8,32.8
2007-10,195.60,23.9,27.3,30.6
2007-11,15.55,18.1,22.8,27.5
2007-12,9.10,16.3,22.1,27.8
2008-01,20.41,13.1,19.2,25.3
2008-02,33.81,15.5,21.6,27.7
2008-03,46.69,15.5,21.6,27.7
2008-04,81.49,16.5,22.8,29.0
2008-05,26.63,18.5,25.1,31.7
2008-06,313.18,22.2,27.3,32.4
2008-07,190.08,23.3,27.9,32.5
2008-08,306.26,24.6,28.6,32.6
2008-09,245.20,24.8,28.1,31.3
2008-10,122.63,22.2,25.6,29.0
2008-11,5.36,16.4,21.2,25.9
2008-12,10.36,16.7,21.1,25.4
2009-01,0.96,12.4,18.7,25.0
2009-02,10.50,11.0,17.8,24.5
2009-03,45.42,14.5,20.6,26.7
2009-04,16.36,16.5,23.1,29.6
2009-05,259.15,19.3,25.3,31.2
2009-06,251.08,23.2,28.0,32.9
2009-07,201.15,24.4,28.8,33.1
2009-08,121.70,25.1,29.1,33.2
2009-09,227.09,24.9,28.7,32.4
2009-10,46.56,22.9,27.2,31.5
2009-11,74.15,18.7,23.5,28.3
2009-12,51.04,16.8,21.5,26.2
2010-01,27.12,10.4,16.2,21.9
2010-02,80.90,11.1,16.7,22.4
2010-03,70.43,12.3,18.3,24.3
2010-04,118.82,17.7,22.8,27.8
2010-05,98.83,22.2,26.9,31.6
2010-06,135.77,25.3,29.5,33.8
2010-07,182.47,24.8,29.0,33.2
2010-08,232.99,25.3,29.5,33.8
2010-09,215.38,24.9,28.5,32.1
2010-10,14.99,21.4,26.0,30.6
2010-11,57.46,17.3,22.4,27.6
2010-12,27.90,8.2,15.2,22.2
2011-01,53.35,11.0,17.8,24.7
2011-02,2.18,13.2,20.3,27.4
2011-03,45.87,13.8,21.2,28.7
2011-04,26.46,17.2,24.6,32.0
2011-05,42.78,18.3,25.2,32.1
2011-06,140.71,20.9,27.1,33.4
2011-07,194.83,22.8,28.2,33.7
2011-08,260.78,23.7,28.8,33.9
2011-09,155.56,23.7,28.4,33.1
2011-10,263.61,21.7,25.5,29.3
2011-11,42.79,20.0,24.2,28.5
2011-12,32.22,16.2,22.2,28.3
2012-01,2.50,11.9,19.7,27.4
2012-02,71.61,17.2,22.4,27.6
2012-03,48.18,16.1,22.3,28.4
2012-04,156.94,16.5,22.8,29.2
2012-05,215.14,20.9,26.0,31.1
2012-06,214.01,23.7,27.8,31.9
2012-07,168.82,24.3,28.5,32.6
2012-08,271.17,24.7,28.8,33.0
2012-09,186.18,23.4,27.5,31.7
2012-10,145.68,22.7,26.4,30.1
2012-11,11.99,16.5,21.2,26.0
2012-12,12.93,16.5,21.4,26.3
2013-01,8.26,16.7,21.7,26.7
2013-02,31.16,15.1,20.8,26.5
2013-03,13.21,11.8,18.5,25.2
2013-04,130.67,18.4,24.1,29.8
2013-05,189.78,19.1,24.9,30.7
2013-06,167.15,23.9,27.9,32.0
2013-07,301.12,24.5,27.8,31.1
2013-08,79.67,25.1,28.6,32.1
2013-09,222.65,24.7,28.1,31.6
2013-10,53.42,23.0,26.8,30.5
2013-11,154.38,20.9,24.4,27.9
2013-12,86.76,19.4,23.1,26.9
2014-01,58.64,13.7,18.8,23.9
2014-02,31.04,16.9,22.5,28.0
2014-03,47.88,16.3,21.9,27.6
2014-04,36.99,17.9,24.0,30.1
2014-05,68.66,20.0,25.6,31.3
2014-06,223.07,21.7,27.0,32.2
2014-07,279.71,24.6,28.7,32.9
2014-08,157.05,25.5,29.4,33.4
2014-09,229.89,24.3,27.9,31.5
2014-10,83.35,22.6,26.4,30.1
2014-11,34.94,17.4,22.0,26.5
2014-12,14.25,16.1,21.0,25.9
2015-01,11.66,15.2,20.4,25.6
2015-02,35.22,11.5,18.2,24.8
2015-03,32.98,17.3,23.6,29.8
2015-04,107.91,19.2,25.4,31.6
2015-05,22.51,19.7,25.6,31.6
2015-06,218.84,22.3,27.6,32.9
